date,daily_pnl,trades,volume_usd,avg_fee,win_day,cum_pnl,peak,drawdown,classification
2024-12-01,-1925.519024,7,200082.27,7.068675285714285,False,906643.955958,908569.4749820001,-1925.5190240000375,extreme greed
2024-12-02,913.8817869999998,16,227247.69999999998,1.6944944375,True,907557.837745,908569.4749820001,-1011.6372370000463,extreme greed
2024-12-03,3039.166,8,103040.85,0.618244125,True,910597.003745,910597.003745,0.0,extreme greed
2024-12-04,-592.6458390000001,129,442088.59,0.7562858527131783,False,910004.357906,910597.003745,-592.6458390000043,extreme greed
2024-12-05,0.0,23,55179.56,0.8396882173913044,False,910004.357906,910597.003745,-592.6458390000043,extreme greed
2024-12-06,-21886.531493,254,193407.96,0.2516591220472441,False,888117.826413,910597.003745,-22479.177331999992,greed
2024-12-07,1412.314654,19,89582.97,1.6502120526315789,True,889530.141067,910597.003745,-21066.862678000005,extreme greed
2024-12-08,858.6705000000001,48,54167.32,0.7514978124999999,True,890388.811567,910597.003745,-20208.192177999998,extreme greed
2024-12-10,541.55471,10,159713.4,5.5899684999999995,True,890930.366277,910597.003745,-19666.637467999943,extreme greed
2024-12-11,3494.399394,171,1226354.52,2.5023675614035086,True,894424.765671,910597.003745,-16172.238073999994,greed
2024-12-12,599151.795008,1932,4557189.87,0.361783359994824,True,1493576.5606789999,1493576.5606789999,0.0,extreme greed
2025-01-01,-9528.065345,96,282582.1,0.3292123146875,False,1484048.4953339999,1493576.5606789999,-9528.06534500001,greed
2025-01-02,32300.205017,634,1363746.44,0.45027978216088327,True,1516348.7003509998,1516348.7003509998,0.0,greed
2025-01-03,10596.108968,174,263824.13,0.21300888155172415,True,1526944.8093189998,1526944.8093189998,0.0,greed
2025-01-04,-2202.6622420000003,192,704445.1900000001,0.8486249730208333,False,1524742.1470769998,1526944.8093189998,-2202.6622419999912,greed
2025-01-05,54536.829297000004,1230,10720240.52,2.1565964861510567,True,1579278.9763739998,1579278.9763739998,0.0,greed
2025-02-01,8716.519087,361,774674.84,0.4879215878947369,True,1587995.495461,1587995.495461,0.0,greed
2025-02-02,162854.759623,1319,5661092.29,0.897742296595906,True,1750850.2550839998,1750850.2550839998,0.0,greed
2025-02-03,66914.320708,532,6460848.74,3.6310092894924813,True,1817764.575792,1817764.575792,0.0,fear
